iter	Logloss
0	0.6802542523
1	0.6671470123
2	0.6546785903
3	0.6427242681
4	0.6312974106
5	0.6197144845
6	0.6088600879
7	0.5992756568
8	0.590369965
9	0.5805552035
10	0.5710300141
11	0.5624101708
12	0.554180215
13	0.5450570338
14	0.5371967528
15	0.5287739584
16	0.5220211304
17	0.5148998138
18	0.5083515596
19	0.5021687317
20	0.4959499619
21	0.4900971157
22	0.4845035109
23	0.478758851
24	0.4727853164
25	0.4665359686
26	0.4614854493
27	0.4560882331
28	0.4518141575
29	0.4472756006
30	0.4423389441
31	0.4374709201
32	0.4324597855
33	0.4287777623
34	0.4239547199
35	0.4203596379
36	0.4169455419
37	0.4123945916
38	0.4094005927
39	0.4060466624
40	0.4020563422
41	0.3980125454
42	0.3941487208
43	0.3906095122
44	0.3879748589
45	0.3853292996
46	0.382357802
47	0.3793140646
48	0.3773667953
49	0.3744194503
50	0.3709886778
51	0.3689927444
52	0.3670689373
53	0.3648478868
54	0.3624219164
55	0.3601867806
56	0.3576310442
57	0.3559918433
58	0.3542954216
59	0.3514394128
60	0.3501104131
61	0.3484756578
62	0.3462902776
63	0.3445654886
64	0.3423635658
65	0.3409782245
66	0.3393358289
67	0.3369464573
68	0.3353100525
69	0.3333221779
70	0.3321697998
71	0.3310693728
72	0.3296106939
73	0.3285166474
74	0.3267141713
75	0.3247851656
76	0.3240385364
77	0.3226523643
78	0.3199199126
79	0.3187415306
80	0.3177305989
81	0.3161529999
82	0.3143503376
83	0.3124180769
84	0.3116478569
85	0.3102594138
86	0.3092411818
87	0.3078264041
88	0.3067383578
89	0.3050878361
90	0.3043121425
91	0.3033806731
92	0.3022226194
93	0.3014695612
94	0.3003120835
95	0.2992152465
96	0.2978462141
97	0.2968575108
98	0.2956917353
99	0.2942139878
100	0.2933416912
101	0.2912300532
102	0.2905074099
103	0.2891192473
104	0.2883048619
105	0.2877596628
106	0.2870447175
107	0.2859234063
108	0.2848696295
109	0.2840264904
110	0.2827996198
111	0.2815632071
112	0.2802899127
113	0.2793664839
114	0.2787115841
115	0.2774952358
116	0.2766983723
117	0.2755992202
118	0.2741968985
119	0.2727858647
120	0.2718134327
121	0.2709384886
122	0.2700339278
123	0.2688358383
124	0.2682680401
125	0.2673273981
126	0.2665276602
127	0.2656266488
128	0.2646874811
129	0.2637455613
130	0.2630142678
131	0.2620848901
132	0.2607092043
133	0.2595025331
134	0.2581554183
135	0.256868508
136	0.2558307378
137	0.2546633944
138	0.2536603314
139	0.2527986174
140	0.2520936957
141	0.2514623221
142	0.2506704927
143	0.2495949422
144	0.2488955228
145	0.247815446
146	0.2469555366
147	0.2460508894
148	0.2448144057
149	0.2439161359
150	0.2433817059
151	0.242603586
152	0.2421740267
153	0.2414764799
154	0.2410614588
155	0.2404492749
156	0.2393645437
157	0.2388565219
158	0.2379499427
159	0.2373308519
160	0.2367250488
161	0.2356982461
162	0.2351960323
163	0.2349640025
164	0.2346739443
165	0.2341665992
166	0.233394837
167	0.232661888
168	0.2322826201
169	0.2312750314
170	0.2301013136
171	0.2296213505
172	0.228817559
173	0.2277759257
174	0.2274149343
175	0.2265537787
176	0.22622356
177	0.2251775972
178	0.2242407066
179	0.2230660043
180	0.222362838
181	0.2221528366
182	0.2213655502
183	0.2207484866
184	0.2203418613
185	0.2195637636
186	0.2190910748
187	0.2179035674
188	0.2173052291
189	0.2163817732
190	0.215660345
191	0.2149482527
192	0.2143208224
193	0.2139380852
194	0.2129454574
195	0.2122193811
196	0.2113969623
197	0.2107506595
198	0.2104252954
199	0.2098859034
200	0.2091262058
201	0.2085150772
202	0.2077244314
203	0.2074934084
204	0.2069873383
205	0.2066447522
206	0.2058869915
207	0.2053555147
208	0.2046038574
209	0.2042151449
210	0.2038313877
211	0.2028633962
212	0.2025019519
213	0.2021882442
214	0.20158994
215	0.2012690974
216	0.2005236626
217	0.1998017839
218	0.1987842207
219	0.1977798327
220	0.1975390268
221	0.1971417565
222	0.1962846335
223	0.1957268102
224	0.195174474
225	0.1946551186
226	0.1941059453
227	0.193580471
228	0.1930759987
229	0.1927425437
230	0.1921544334
231	0.1914589388
232	0.1908828536
233	0.1906911401
234	0.1902368338
235	0.1897999665
236	0.1891426109
237	0.1887734976
