iter	Passed	Remaining
0	30	30429
1	54	27142
2	77	25613
3	101	25181
4	124	24760
5	148	24580
6	176	25066
7	204	25326
8	246	27155
9	276	27384
10	319	28734
11	373	30786
12	427	32447
13	470	33124
14	509	33435
15	546	33635
16	582	33707
17	627	34246
18	676	34947
19	707	34690
20	737	34364
21	769	34208
22	799	33976
23	837	34052
24	871	34000
25	906	33961
26	942	33955
27	975	33878
28	1007	33723
29	1037	33530
30	1078	33711
31	1122	33966
32	1167	34203
33	1205	34259
34	1242	34259
35	1286	34441
36	1378	35888
37	1431	36232
38	1557	38371
39	1611	38685
40	1655	38726
41	1698	38749
42	1739	38719
43	1766	38383
44	1797	38145
45	1833	38033
46	1876	38055
47	1933	38342
48	1985	38533
49	2033	38639
50	2067	38474
51	2101	38304
52	2148	38388
53	2179	38174
54	2220	38147
55	2259	38082
56	2312	38263
57	2384	38726
58	2440	38928
59	2523	39530
60	2574	39631
61	2625	39720
62	2690	40018
63	2762	40400
64	2798	40262
65	2843	40239
66	2883	40160
67	2937	40265
68	2983	40249
69	3030	40265
70	3065	40115
71	3096	39910
72	3140	39877
73	3181	39817
74	3215	39661
75	3263	39681
76	3330	39928
77	3376	39911
78	3414	39804
79	3463	39829
80	3497	39684
81	3538	39617
82	3574	39486
83	3619	39475
84	3670	39510
85	3719	39525
86	3762	39481
87	3793	39311
88	3826	39171
89	3862	39050
90	3901	38972
91	3938	38866
92	3969	38710
93	4009	38645
94	4057	38649
95	4104	38648
96	4141	38553
97	4194	38609
98	4232	38516
99	4270	38436
100	4316	38417
101	4353	38327
102	4382	38167
103	4409	37991
104	4443	37875
105	4483	37817
106	4524	37759
107	4570	37750
108	4606	37657
109	4650	37630
110	4686	37535
111	4734	37541
112	4797	37657
113	4837	37595
114	4886	37605
115	4937	37624
116	4983	37609
117	5027	37578
118	5061	37471
119	5096	37373
120	5128	37257
121	5165	37175
122	5199	37070
123	5234	36982
124	5268	36877
125	5311	36840
126	5346	36751
127	5386	36694
128	5417	36578
129	5450	36479
130	5481	36359
131	5514	36258
132	5548	36166
133	5580	36065
134	5629	36069
135	5664	35983
136	5693	35863
137	5721	35740
138	5754	35643
139	5790	35572
140	5822	35474
141	5864	35434
142	5908	35408
143	5937	35294
144	5979	35257
145	6012	35171
146	6045	35078
147	6076	34981
148	6117	34941
149	6150	34852
150	6185	34777
151	6218	34693
152	6251	34605
153	6284	34524
154	6325	34482
155	6367	34447
156	6407	34403
157	6440	34322
158	6476	34253
159	6506	34160
160	6559	34185
161	6605	34167
162	6635	34073
163	6663	33966
164	6702	33917
165	6730	33816
166	6766	33750
167	6799	33673
168	6832	33596
169	6891	33644
170	6938	33637
171	7003	33715
172	7039	33651
173	7102	33714
174	7137	33648
175	7171	33574
176	7207	33510
177	7249	33476
178	7287	33422
179	7319	33343
180	7354	33276
181	7387	33204
182	7425	33148
183	7460	33087
184	7493	33009
185	7527	32942
186	7565	32893
187	7602	32835
188	7631	32747
189	7662	32665
190	7698	32607
191	7733	32543
192	7766	32473
193	7801	32413
194	7837	32355
195	7871	32290
196	7914	32258
197	7949	32198
198	7988	32153
199	8036	32145
200	8095	32181
201	8137	32148
202	8179	32111
203	8213	32048
204	8250	31994
205	8288	31946
206	8319	31871
207	8352	31804
208	8393	31767
209	8427	31701
210	8459	31633
211	8492	31565
212	8521	31486
213	8559	31438
214	8593	31374
215	8625	31308
216	8656	31236
217	8693	31185
218	8763	31250
219	8797	31190
220	8832	31135
221	8866	31072
222	8896	30999
223	8927	30927
224	8960	30864
225	8991	30795
226	9022	30725
227	9054	30659
228	9088	30600
229	9143	30609
230	9195	30612
231	9227	30547
232	9259	30479
233	9292	30419
234	9323	30352
235	9356	30288
236	9386	30218
237	9418	30155
238	9460	30123
239	9497	30076
240	9531	30018
241	9569	29972
242	9602	29914
243	9626	29825
244	9660	29770
245	9692	29706
246	9722	29640
247	9754	29579
248	9784	29509
249	9811	29433
250	9845	29379
251	9877	29318
252	9913	29269
253	9948	29219
254	9975	29143
255	10000	29062
256	10023	28978
257	10055	28919
258	10081	28844
259	10121	28807
260	10154	28751
261	10184	28687
262	10214	28624
263	10239	28547
264	10274	28497
265	10305	28436
266	10334	28371
267	10357	28289
268	10387	28227
269	10417	28166
270	10444	28096
271	10475	28038
272	10506	27978
273	10533	27910
274	10557	27832
275	10592	27784
276	10616	27709
277	10639	27631
278	10664	27558
279	10694	27501
280	10728	27451
281	10759	27395
282	10798	27358
283	10828	27300
284	10860	27245
285	10889	27185
286	10935	27167
287	10967	27114
288	11000	27062
289	11035	27017
290	11068	26967
291	11097	26908
292	11130	26856
293	11159	26797
294	11194	26751
295	11225	26698
296	11253	26637
297	11286	26587
298	11309	26514
299	11338	26455
300	11361	26384
301	11391	26328
302	11416	26261
303	11442	26197
304	11465	26127
305	11490	26059
306	11514	25992
307	11538	25924
308	11562	25856
309	11586	25790
310	11610	25721
311	11634	25655
312	11660	25593
313	11690	25539
314	11718	25482
315	11743	25420
316	11771	25362
317	11795	25297
318	11820	25235
319	11845	25171
320	11869	25107
321	11892	25041
322	11925	24995
323	11950	24933
324	11974	24870
325	11999	24808
326	12022	24743
327	12045	24679
328	12069	24615
329	12099	24566
330	12131	24519
331	12161	24470
332	12196	24429
333	12238	24403
334	12269	24356
335	12297	24301
336	12327	24253
337	12356	24200
338	12384	24148
339	12415	24100
340	12452	24064
341	12481	24014
342	12508	23960
343	12538	23910
344	12570	23865
345	12596	23810
346	12623	23755
347	12650	23701
348	12676	23645
349	12706	23598
350	12737	23552
351	12768	23505
352	12798	23457
353	12832	23417
354	12864	23372
355	12896	23329
356	12927	23284
357	12961	23243
358	12992	23197
359	13030	23165
360	13062	23122
361	13100	23087
362	13131	23044
363	13164	23001
364	13202	22968
365	13242	22939
366	13269	22887
367	13297	22837
368	13323	22784
369	13347	22727
370	13371	22669
371	13395	22614
372	13418	22556
373	13443	22501
374	13468	22446
375	13491	22389
376	13514	22333
