iter	Passed	Remaining
0	38	38431
1	73	36902
2	104	34625
3	132	33030
4	166	33146
5	201	33386
6	233	33078
7	262	32544
8	287	31650
9	331	32771
10	359	32294
11	387	31881
12	413	31395
13	438	30903
14	469	30836
15	498	30658
16	528	30585
17	559	30531
18	585	30223
19	612	30022
20	641	29887
21	667	29661
22	694	29511
23	724	29465
24	755	29481
25	787	29490
26	819	29543
27	849	29499
28	874	29283
29	913	29530
30	939	29356
31	969	29337
32	998	29271
33	1033	29350
34	1063	29317
35	1093	29272
36	1120	29151
37	1148	29070
38	1179	29065
39	1206	28956
40	1236	28919
41	1263	28828
42	1298	28900
43	1331	28936
44	1360	28880
45	1385	28728
46	1412	28642
47	1439	28540
48	1468	28499
49	1494	28392
50	1521	28305
51	1544	28165
52	1575	28159
53	1608	28180
54	1634	28079
55	1664	28062
56	1700	28126
57	1741	28288
58	1778	28370
59	1811	28382
60	1845	28401
61	1875	28366
62	1925	28644
63	1966	28759
64	1998	28751
65	2033	28780
66	2068	28804
67	2102	28811
68	2140	28883
69	2173	28875
70	2207	28882
71	2240	28873
72	2267	28789
73	2298	28768
74	2330	28740
75	2361	28705
76	2387	28615
77	2418	28584
78	2451	28581
79	2480	28524
80	2509	28476
81	2546	28504
82	2579	28499
83	2614	28509
84	2644	28470
85	2694	28632
86	2725	28597
87	2751	28513
88	2774	28402
89	2799	28301
90	2829	28261
91	2854	28172
92	2881	28103
93	2914	28092
94	2940	28009
95	2975	28016
96	3015	28068
97	3065	28211
98	3101	28228
99	3132	28190
100	3158	28110
101	3187	28059
102	3212	27977
103	3239	27906
104	3265	27838
105	3294	27782
106	3321	27717
107	3349	27660
108	3373	27575
109	3406	27561
110	3431	27479
111	3473	27542
112	3506	27522
113	3534	27468
114	3573	27496
115	3602	27452
116	3637	27452
117	3675	27475
118	3703	27414
119	3729	27351
120	3752	27261
121	3776	27180
122	3801	27105
123	3823	27013
124	3844	26908
125	3864	26809
126	3894	26770
127	3921	26714
128	3965	26772
129	3998	26758
130	4025	26700
131	4050	26637
132	4080	26596
133	4108	26553
134	4130	26463
135	4159	26426
136	4185	26363
137	4207	26283
138	4230	26203
139	4251	26116
140	4278	26065
141	4308	26030
142	4330	25949
143	4363	25939
144	4393	25906
145	4418	25846
146	4444	25790
147	4472	25747
148	4498	25691
149	4526	25650
150	4550	25586
151	4583	25568
152	4616	25554
153	4644	25515
154	4667	25445
155	4690	25377
156	4714	25315
157	4735	25234
158	4758	25169
159	4779	25093
160	4800	25014
161	4828	24976
162	4854	24925
163	4886	24909
164	4909	24844
165	4935	24794
166	4959	24738
167	4982	24674
168	5005	24614
169	5034	24579
170	5059	24529
171	5118	24639
172	5158	24657
173	5185	24615
174	5221	24617
175	5251	24586
176	5284	24572
177	5317	24554
178	5375	24656
179	5404	24621
180	5435	24594
181	5469	24583
182	5499	24552
183	5525	24505
184	5553	24466
185	5582	24429
186	5612	24402
187	5643	24374
188	5672	24339
189	5700	24300
190	5725	24249
191	5750	24201
192	5773	24141
193	5793	24071
194	5815	24007
195	5845	23976
196	5874	23945
197	5900	23899
198	5931	23875
199	5961	23846
200	5984	23790
201	6013	23757
202	6042	23725
203	6068	23679
204	6094	23635
205	6118	23581
206	6145	23543
207	6170	23493
208	6191	23432
209	6216	23386
210	6244	23352
211	6278	23336
212	6311	23320
213	6344	23302
214	6374	23272
215	6396	23216
216	6418	23161
217	6445	23122
218	6468	23069
219	6491	23015
220	6563	23133
221	6653	23316
222	6710	23383
223	6757	23409
224	6786	23376
225	6858	23488
226	6911	23534
227	6957	23556
228	6998	23561
229	7031	23538
230	7063	23513
231	7105	23521
232	7140	23506
233	7189	23533
234	7216	23491
235	7263	23513
236	7306	23521
237	7370	23598
238	7404	23575
239	7434	23542
240	7469	23523
241	7499	23490
242	7525	23442
243	7547	23383
244	7576	23348
245	7606	23312
246	7627	23254
247	7670	23259
248	7702	23232
249	7723	23170
250	7744	23111
251	7768	23057
252	7788	22996
253	7810	22939
254	7834	22889
255	7855	22829
256	7881	22785
257	7902	22726
258	7925	22676
259	7948	22622
260	7970	22569
261	7995	22521
262	8018	22470
263	8040	22415
264	8062	22361
265	8085	22311
266	8116	22283
267	8139	22231
268	8160	22177
269	8183	22126
270	8211	22087
271	8232	22032
272	8255	21983
273	8276	21930
274	8303	21891
275	8331	21854
276	8351	21798
277	8373	21746
278	8394	21693
279	8417	21644
280	8439	21595
281	8460	21541
282	8481	21488
283	8503	21438
284	8525	21388
285	8546	21336
286	8568	21286
287	8590	21236
288	8611	21184
289	8634	21139
290	8657	21092
291	8678	21041
292	8701	20997
293	8722	20945
294	8743	20895
295	8765	20847
296	8786	20796
297	8808	20750
298	8831	20705
299	8852	20655
300	8881	20624
301	8904	20581
302	8927	20536
303	8951	20494
304	8998	20504
305	9032	20486
306	9057	20446
307	9087	20417
308	9120	20396
309	9152	20372
310	9214	20414
311	9244	20386
312	9288	20388
313	9337	20400
314	9368	20372
315	9403	20353
316	9430	20319
317	9457	20283
318	9482	20242
319	9503	20195
320	9525	20148
321	9555	20119
322	9583	20085
323	9612	20054
324	9640	20022
325	9672	19997
326	9695	19955
327	9720	19915
328	9745	19876
329	9771	19838
330	9792	19792
331	9815	19748
332	9838	19706
333	9862	19666
334	9885	19624
335	9911	19587
336	9933	19542
337	9954	19497
338	9975	19451
339	9997	19407
340	10021	19367
341	10042	19321
342	10069	19287
343	10095	19251
344	10122	19217
345	10147	19180
346	10171	19141
347	10204	19118
348	10233	19088
349	10256	19047
350	10284	19016
351	10311	18982
352	10335	18944
353	10360	18905
354	10386	18870
355	10411	18834
356	10436	18797
357	10457	18753
358	10478	18708
359	10502	18671
360	10527	18634
361	10555	18603
362	10580	18566
363	10606	18532
364	10635	18502
365	10661	18469
366	10687	18432
367	10712	18397
368	10736	18359
369	10760	18322
370	10782	18280
371	10812	18253
372	10843	18227
373	10871	18197
374	10895	18159
375	10918	18120
376	10942	18082
377	10962	18038
378	10989	18006
379	11012	17967
380	11033	17925
381	11054	17884
382	11077	17845
383	11106	17816
384	11129	17778
385	11153	17741
386	11180	17709
387	11219	17697
388	11275	17709
389	11317	17701
390	11362	17698
391	11403	17687
392	11443	17675
393	11476	17652
394	11506	17623
395	11533	17590
396	11557	17554
397	11581	17517
398	11603	17477
399	11626	17439
400	11650	17402
401	11671	17362
402	11694	17324
403	11716	17285
404	11743	17252
405	11763	17211
406	11788	17175
407	11810	17136
408	11830	17095
409	11852	17055
410	11880	17025
411	11908	16995
412	11931	16958
413	11954	16920
414	11977	16883
415	12005	16853
416	12030	16820
417	12055	16785
418	12078	16749
419	12108	16721
420	12133	16687
421	12156	16649
422	12186	16622
423	12219	16600
424	12243	16565
425	12267	16529
426	12289	16491
427	12319	16464
428	12345	16432
429	12371	16399
430	12393	16361
431	12421	16332
432	12447	16299
433	12470	16263
434	12500	16235
435	12544	16226
436	12576	16202
437	12607	16176
438	12639	16152
439	12667	16122
440	12700	16099
441	12724	16064
442	12761	16045
443	12793	16021
444	12830	16002
445	12869	15985
446	12907	15968
447	12937	15941
448	12963	15907
449	12986	15872
450	13009	15836
451	13030	15798
452	13057	15767
453	13080	15731
454	13102	15694
455	13127	15660
456	13149	15624
457	13173	15589
458	13194	15551
459	13220	15519
460	13243	15484
461	13272	15456
462	13297	15422
463	13324	15392
464	13350	15360
465	13373	15325
466	13406	15301
467	13442	15280
468	13491	15275
469	13521	15247
470	13546	15214
471	13575	15185
472	13604	15157
473	13634	15130
474	13663	15101
475	13695	15076
476	13723	15046
477	13753	15019
478	13778	14987
479	13808	14959
480	13832	14925
481	13857	14892
482	13882	14859
483	13909	14828
484	13933	14795
485	13955	14759
486	13975	14721
487	13997	14685
488	14027	14658
489	14058	14631
490	14085	14602
491	14127	14587
492	14192	14595
493	14239	14585
494	14282	14571
495	14323	14554
496	14356	14529
497	14398	14514
498	14433	14491
499	14457	14457
500	14484	14426
501	14511	14396
502	14534	14360
503	14557	14326
504	14587	14298
505	14615	14269
506	14638	14234
507	14661	14200
508	14686	14167
509	14707	14130
510	14730	14096
511	14752	14061
512	14774	14025
513	14803	13997
514	14831	13967
515	14861	13939
516	14884	13905
517	14912	13875
518	14938	13844
519	14961	13810
520	14993	13785
521	15018	13752
522	15043	13720
523	15085	13703
524	15115	13675
525	15145	13648
526	15175	13620
527	15202	13590
528	15231	13561
529	15259	13532
530	15281	13497
531	15306	13464
532	15330	13432
533	15357	13402
534	15386	13373
535	15411	13341
536	15440	13312
537	15464	13280
538	15512	13267
539	15553	13248
540	15591	13228
541	15624	13203
542	15663	13183
543	15691	13153
544	15727	13130
545	15756	13101
546	15782	13070
547	15819	13048
548	15866	13034
549	15902	13011
550	15945	12993
551	15982	12971
552	16013	12944
553	16041	12914
554	16072	12887
555	16111	12866
556	16144	12839
557	16169	12808
558	16207	12786
559	16241	12761
560	16267	12729
561	16294	12699
562	16332	12677
563	16365	12651
564	16394	12622
565	16423	12592
566	16450	12562
567	16482	12536
568	16515	12509
569	16552	12486
570	16586	12461
571	16625	12440
572	16667	12420
573	16712	12403
574	16742	12374
575	16770	12344
576	16797	12314
577	16821	12281
578	16843	12246
579	16874	12219
580	16922	12204
581	16981	12196
582	17027	12178
583	17093	12176
584	17130	12152
585	17176	12135
586	17211	12109
587	17242	12081
588	17271	12051
589	17298	12021
590	17329	11992
591	17362	11966
592	17393	11937
593	17423	11909
